t_seconds,date,x_m,y_m,z_m,status,earth_umbra,earth_penumbra,moon_umbra,moon_penumbra,any_umbra,any_penumbra,any_eclipse,earth_umbra_g,earth_penumbra_g,moon_umbra_g,moon_penumbra_g
81920.0,2024-06-21T22:45:20.000Z,6585657.515686408,-330198.7066925647,2349485.8799707005,full_sunlight,False,False,False,False,False,False,False,0.5097014958513317,0.5005453903821153,3.042261513721696,3.0331054082524798
81930.0,2024-06-21T22:45:30.000Z,6559698.809173005,-340059.7690391584,2419650.9844221966,full_sunlight,False,False,False,False,False,False,False,0.5125056485746176,0.5033495420159024,3.042138424178194,3.0329823176194792
81940.0,2024-06-21T22:45:40.000Z,6532977.807172583,-349881.3134086773,2489534.9038561243,full_sunlight,False,False,False,False,False,False,False,0.5153015669133799,0.5061454592691542,3.0420165263491974,3.0328604187049715
81950.0,2024-06-21T22:45:50.000Z,6505497.614903888,-359662.1984500723,2559129.5171377873,full_sunlight,False,False,False,False,False,False,False,0.5180889204564988,0.5089328117308839,3.0418958287657074,3.0327397200400923
81960.0,2024-06-21T22:46:00.000Z,6477261.425810197,-369401.2875373225,2628426.7367528095,full_sunlight,False,False,False,False,False,False,False,0.5208673791338154,0.5117112693310659,3.0417763398280995,3.0326202300253504
81970.0,2024-06-21T22:46:10.000Z,6448272.521188508,-379097.4489014177,2697418.509746244,full_sunlight,False,False,False,False,False,False,False,0.5236366132529764,0.5144805023774792,3.041658067806961,3.0325019569314637
81980.0,2024-06-21T22:46:20.000Z,6418534.269807921,-388749.55576198356,2766096.8186591314,full_sunlight,False,False,False,False,False,False,False,0.5263962935367567,0.5172401815930306,3.0415410208439115,3.0323849089001853
81990.0,2024-06-21T22:46:30.000Z,6388050.127518468,-398356.4864581204,2834453.682459467,full_sunlight,False,False,False,False,False,False,False,0.5291460911606622,0.5199899781533579,3.041425206952399,3.032269093945095
82000.0,2024-06-21T22:46:40.000Z,6356823.636849194,-407917.12457885285,2902481.1574703986,full_sunlight,False,False,False,False,False,False,False,0.5318856777909684,0.522729563724867,3.041310634018552,3.0321545199524507
82010.0,2024-06-21T22:46:50.000Z,6324858.426596767,-417430.359092777,2970171.338292715,full_sunlight,False,False,False,False,False,False,False,0.5346147256230778,0.525458610503091,3.041197309801968,3.0320411946819816
82020.0,2024-06-21T22:47:00.000Z,6292158.21140366,-426895.0844772113,3037516.3587238006,full_sunlight,False,False,False,False,False,False,False,0.5373329074202807,0.52817679125145,3.0410852419365364,3.0319291257677055
82030.0,2024-06-21T22:47:10.000Z,6258726.79132634,-436310.20084670506,3104508.39267202,full_sunlight,False,False,False,False,False,False,False,0.5400398965528792,0.5308837793403751,3.0409744379312444,3.031818320718741
