0,1,2,table_number,source
"Jackson County, Alabama",1.09,1.10,4,Google Data Centers PUE page
"Lenoir, North Carolina",1.08,1.10,4,Google Data Centers PUE page
"Loudoun County, Virginia",1.07,1.08,4,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.07,1.08,4,Google Data Centers PUE page
"Mayes County, Oklahoma",1.09,1.12,4,Google Data Centers PUE page
"Midlothian, Texas",1.09,1.10,4,Google Data Centers PUE page
"Montgomery County, Tennessee",1.06,1.09,4,Google Data Centers PUE page
"Omaha, Nebraska",1.05,1.05,4,Google Data Centers PUE page
"Papillion, Nebraska",1.07,1.09,4,Google Data Centers PUE page
"Quilicura, Chile",1.08,1.08,4,Google Data Centers PUE page
Singapore,1.12,1.12,4,Google Data Centers PUE page
Singapore (2nd facility),1.14,1.14,4,Google Data Centers PUE page
"St. Ghislain, Belgium",1.07,1.08,4,Google Data Centers PUE page
"Storey County, Nevada",1.11,1.14,4,Google Data Centers PUE page
"The Dalles, Oregon",1.10,1.10,4,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.06,1.06,4,Google Data Centers PUE page
"The Dalles, Oregon (3rd facility)",1.07,,4,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,5,Google Data Centers PUE page
Fleet,1.08,1.09,5,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,5,Google Data Centers PUE page
"Douglas County, Georgia",1.07,1.09,5,Google Data Centers PUE page
"Lenoir, North Carolina",1.08,1.10,5,Google Data Centers PUE page
"Berkeley County, South Carolina",1.08,1.10,5,Google Data Centers PUE page
"Montgomery County, Tennessee",1.09,1.10,5,Google Data Centers PUE page
"Jackson County, Alabama",1.08,1.10,5,Google Data Centers PUE page
"Loudoun County, Virginia",1.08,1.09,5,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.07,1.08,5,Google Data Centers PUE page
"New Albany, Ohio",1.08,1.09,5,Google Data Centers PUE page
"Council Bluffs, Iowa",1.12,1.12,5,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.07,1.08,5,Google Data Centers PUE page
"Papillion, Nebraska",1.09,1.09,5,Google Data Centers PUE page
"Mayes County, Oklahoma",1.08,1.10,5,Google Data Centers PUE page
"Midlothian, Texas",1.09,1.12,5,Google Data Centers PUE page
"The Dalles, Oregon",1.10,1.10,5,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.06,1.07,5,Google Data Centers PUE page
"Henderson, Nevada",1.07,1.08,5,Google Data Centers PUE page
"Storey County, Nevada",1.12,1.17,5,Google Data Centers PUE page
"Dublin, Ireland",1.08,1.08,5,Google Data Centers PUE page
"St. Ghislain, Belgium",1.08,1.09,5,Google Data Centers PUE page
"Eemshaven, Netherlands",1.07,1.07,5,Google Data Centers PUE page
"Fredericia, Denmark",1.09,1.09,5,Google Data Centers PUE page
"Hamina, Finland",1.09,1.09,5,Google Data Centers PUE page
"Changua County, Taiwan",1.10,1.12,5,Google Data Centers PUE page
Singapore,1.13,1.13,5,Google Data Centers PUE page
Singapore (2nd facility),1.16,1.18,5,Google Data Centers PUE page
"Quilicura, Chile",1.11,1.10,5,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,6,Google Data Centers PUE page
Fleet,1.10,1.10,6,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,6,Google Data Centers PUE page
"Douglas County, Georgia",1.10,1.09,6,Google Data Centers PUE page
"Lenoir, North Carolina",1.11,1.10,6,Google Data Centers PUE page
"Berkeley County, South Carolina",1.11,1.10,6,Google Data Centers PUE page
"Montgomery County, Tennessee",1.11,1.10,6,Google Data Centers PUE page
"Jackson County, Alabama",1.11,1.10,6,Google Data Centers PUE page
"Loudoun County, Virginia",1.09,1.09,6,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.08,1.08,6,Google Data Centers PUE page
"New Albany, Ohio",1.09,1.09,6,Google Data Centers PUE page
"Council Bluffs, Iowa",1.11,1.12,6,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.07,1.07,6,Google Data Centers PUE page
"Papillion, Nebraska",1.09,1.09,6,Google Data Centers PUE page
"Mayes County, Oklahoma",1.12,1.11,6,Google Data Centers PUE page
"Midlothian, Texas",1.12,1.11,6,Google Data Centers PUE page
"The Dalles, Oregon",1.10,1.10,6,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.06,1.06,6,Google Data Centers PUE page
"Henderson, Nevada",1.09,1.08,6,Google Data Centers PUE page
"Storey County, Nevada",1.16,1.16,6,Google Data Centers PUE page
"Dublin, Ireland",1.08,1.08,6,Google Data Centers PUE page
"St. Ghislain, Belgium",1.08,1.08,6,Google Data Centers PUE page
"Eemshaven, Netherlands",1.08,1.08,6,Google Data Centers PUE page
"Fredericia, Denmark",1.08,1.09,6,Google Data Centers PUE page
"Hamina, Finland",1.10,1.10,6,Google Data Centers PUE page
"Changua County, Taiwan",1.13,1.12,6,Google Data Centers PUE page
Singapore,1.13,1.13,6,Google Data Centers PUE page
Singapore (2nd facility),1.15,1.17,6,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.10,6,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,7,Google Data Centers PUE page
Fleet,1.11,1.1,7,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,7,Google Data Centers PUE page
"Douglas County, Georgia",1.12,1.09,7,Google Data Centers PUE page
"Lenoir, North Carolina",1.24,1.13,7,Google Data Centers PUE page
